영화이름,장르,줄거리
13일밤의 금요일,공포,"크리스탈 호수 캠프장에 얽힌 숨겨진 전설 달빛이 아름답게 빛나는 크리스탈 호수 캠프장에는 한가지 전설이 있다. 20여 년 전 캠프 요원의 부주의로 한 아이가 익사한 후 그의 엄마가 아들의 복수를 위해 살인을 저지른 것. 그러나 유일한 생존자가 그녀의 목을 베었고 이것을 지켜보는 한 아이가 있었다. 익사한 줄 알았던 아이 제이슨… 그날 이후 크리스탈 캠프장은 폐쇄되고 인적조차 드문 폐허가 되었다. 그러나 밤만 되면 호수를 배회하는 그림자가 목격되고 있다는 것이다. 전설은 현실이 되고.. 현실은 공포가 된다! 그리고 20년이 지난 어느 날, 크리스탈 호수로 친구들과 신나게 주말을 즐기러 온 트렌트와 친구들. 근사한 차를 타고 별장에 도착한 들뜬 일행에게 뜻하지 않는 손님이 찾아온다. 6주전 실종된 여동생을 찾는 클레이를 만난 것. 주말 파티를 즐기려는 일행에게 왠지 낯선 방문자가 꺼림직하기만 하다. 그러나 클레이의 동생 역시 크리스탈 호수에서 캠핑 중 실종되었으며 전설로만 여기던 제이슨이 점점 가깝게 다가오는 것을 알게 되는데…"
피라냐,공포,200만년 전 사라졌던 지구상에서 가장 위험한 놈들이 깨어났다! 파티를 즐기기 위해 몰려든 수만 명의 청춘 남녀로 북적이는 빅토리아 호수. 갑작스런 물속 지진으로 인해200만년 동안 잠들어 있던 피라냐의 기원이 깨어났다! 더욱 빠르고 더욱 흉폭해진 그들의 무자비한 습격이 시작된다! 이제 평화롭던 빅토리아 호수 전역은 더욱 잔인하고 흉폭한 습성을 가진 피라냐들의 거침없는 습격으로 인해 목숨을 위협받는 가장 위험한 장소로 돌변하고 마는데...
더 그레이트 샤크,공포,"행복한 휴가를 떠난 5명의 여행객.?그러나 우연히 상어에 의해 훼손된 시체를 발견하고?그들의 여행은 순식간에 공포에 휩싸인다.?높아지는 불안감 속에 급히 수상 비행기에 오르지만?굶주린 상어 떼의 습격으로 망망대해에 조난 당하고 만다.?가까스로 구명보트에 올라탔지만?그들 주위를 맴도는 식인 상어 떼로 인해?점점 두려움이 극한으로 치닫는데…? 올여름, 극한의 공포를 견뎌라!"
이프온리,로맨스,"오늘, 비로소 사랑을 알았어 눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데… 네가 아니었다면 난 영영 사랑을 몰랐을 거야 사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
어바웃타임,로맨스,"모태솔로 팀(도널 글리슨)은 성인이 된 날, 아버지(빌 나이)로부터 놀랄만한 가문의 비밀을 듣게 된다.?바로 시간을 되돌릴 수 있는 능력이 있다는 것!?그것이 비록 히틀러를 죽이거나 여신과 뜨거운 사랑을 할 수 는 없지만,?여자친구는 만들어 줄 순 있으리. 꿈을 위해 런던으로 간 팀은 우연히 만난 사랑스러운 여인 메리에게 첫눈에 반하게 된다.?그녀의 사랑을 얻기 위해 자신의 특별한 능력을 마음껏 발휘하는 팀.?어설픈 대시, 어색한 웃음은 리와인드! 뜨거웠던 밤은 더욱 뜨겁게 리플레이!?꿈에 그리던 그녀와 매일매일 최고의 순간을 보낸다. 하지만 그와 그녀의 사랑이 완전해 질수록 팀을 둘러싼 주변 상황들은 미묘하게 엇갈리고, 예상치 못한 사건들이 여기저기 나타나기 시작하는데…?어떠한 순간을 다시 살게 된다면, 과연 완벽한 사랑을 이룰 수 있을까?"
클래식,로맨스,"같은 대학에 다니는 지혜(손예진)와 수경(이수인)은 연극반 선배 상민(조인성)을 좋아한다. 하지만 호들갑스런 수경이 상민에게 보낼 편지의 대필을 부탁하고, 지혜는 수경의 이름으로 상민을 향한 자신의 감정을 고백한다. 지혜의 편지로 맺어진 수경과 상민이 가까워지면서 지혜는 괜한 죄의식에 상민을 멀리 하려 하지만, 우연하게도 자꾸만 마주치게 된다. 한편, 아빠를 일찍 여읜 지혜는 지금은 해외 여행 중인 엄마 주희와 단둘이 살다. 엄마의 빈자리를 털기 위해 다락방을 청소하던 지혜는 우연히 엄마의 비밀 상자를 발견하게 된다. 주희의 첫사랑의 기억이 고스란히 담겨있는 비밀 상자를 보면서 지혜는 엄마의 클래식한 사랑을 조금씩 알게 되는데..."
오직그대만,로맨스,"잘나가던 복서였지만 어두운 상처 때문에 마음을 굳게 닫아버린 철민. 시력을 잃어가고 있지만, 늘 밝고 씩씩한 정화. 좁은 주차박스에서 외로운 시간을 보내고 있던 철민에게 꽃 같은 그녀, 정화가 나타났다. 나보다 나를 더 사랑해주는 사람. 두 눈을 감으면 선명해지는 그 얼굴, 오직 그대만..."
내 머리속 지우개,로맨스,"수진은 유달리 건망증이 심하다. 편의점에 가면 산 물건과 지갑까지 놓고 나오기 일쑤다. 그 날도 어김없이 산 콜라와 지갑을 놓고 온 것을 깨닫고 다시 편의점에 들어선 순간 맞닥뜨린 남자. 그의 손엔 콜라가 들려있고, 콜라가 있어야 할 편의점 카운터는 비어있다. 덥수룩한 수염에 남루한 옷차림, 영락없는 부랑자다. 그가 자신의 콜라를 훔쳤다고 생각한 수진, 그의 손에 들린 콜라를 뺏어 단숨에 들이킨다. ""꺼어억~~~!!"" 게다가 트림까지.... 보란 듯이 빈 캔을 돌려주고, 수진은 버스정류장으로 향한다. 하지만 버스에 탄 순간 또 지갑을 챙겨오지 않은 걸 깨닫는다. 다시 돌아간　편의점에서 직원은 수진을 보더니 지갑과 콜라를 내놓는다. 그제서야 자신의 실수를 깨닫는 수진. 그를 찾아보지만 이미 그는 없다."
건축학개론,로맨스,"어쩌면…사랑할 수 있을까? 건축학개론 수업에서 그녀를 처음 만났다 생기 넘치지만 숫기 없던 스무 살, 건축학과 승민은 '건축학개론' 수업에서 처음 만난 음대생 서연에게 반한다. 함께 숙제를 하게 되면서 차츰 마음을 열고 친해지지만, 자신의 마음을 표현하는 데 서툰 순진한 승민은 입 밖에 낼 수 없었던 고백을 마음 속에 품은 채 작은 오해로 인해 서연과 멀어지게 된다. 어쩌면 다시…사랑할 수 있을까? 15년 만에 그녀를 다시 만났다 서른 다섯의 건축사가 된 승민 앞에 15년 만에 불쑥 나타난 서연. 당황스러움을 감추지 못하는 승민에게 서연은 자신을 위한 집을 설계해달라고 한다. 자신의 이름을 건 첫 작품으로 서연의 집을 짓게 된 승민, 함께 집을 완성해 가는 동안 어쩌면 사랑이었을지 모를 그때의 기억이 되살아나 두 사람 사이에 새로운 감정이 쌓이기 시작하는데…"
이터널 션샤인,로맨스,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다."
타이타닉,로맨스,"이 세상 마지막 순간까지 같이하는 사랑 “내 인생의 가장 큰 행운은 도박에서 딴 티켓으로 당신을 만난 거야” 단 하나의 운명, 단 한 번의 사랑, 영원으로 기억될 세기의 러브 스토리 우연한 기회로 티켓을 구해 타이타닉호에 올라탄 자유로운 영혼을 가진 화가 잭(레오나르도 디카프리오)은 막강한 재력의 약혼자와 함께 1등실에 승선한 로즈(케이트 윈슬렛)에게 한 눈에 반한다. 진실한 사랑을 꿈꾸던 로즈 또한 생애 처음 황홀한 감정에 휩싸이고, 둘은 운명 같은 사랑에 빠지는데…"
플립,로맨스,"누구나 일생에 한번은 만난다는 무지개빛 첫사랑! 옆집 소년소녀의 귀엽고 설레는 반전 로맨스! 새로 이사 온 미소년 브라이스를 보고 첫눈에 사랑을 직감한 7살 소녀 줄리. 솔직하고 용감한 줄리는 자신의 마음을 적극적으로 표현하지만 브라이스는 그런 줄리가 마냥 부담스럽다. 줄리의 러브빔을 요리조리 피해 다니기를 6년! 브라이스는 줄리에게 받은 달걀을 쓰레기통에 버리다 들키고, 화가 난 줄리는 그날부터 브라이스를 피하기 시작한다. 하지만 성가신 그녀가 사라지자 브라이스는 오히려 전 같지 않게 줄리가 신경 쓰이기 시작하는데…."
늑대의 유혹,로맨스,"성격과 외모에서 모두 시골 느낌을 팍팍 풍기는 한경... 서울에서 엄마와 함께 살기 위해 말 그대로 '갓 상경'하여 강신고로 전학을 오는데. 그러나 그녀의 서울 생활은 정신적, 신체적 충격의 연속이다. 버스를 타고 가는데 어떤 놈이 던진 실내화가 머리로 날아온다. 그런데 문제는 거기서 끝나지 않는다. 실내화를 던진 반해원이란 녀석이 예사 녀석이 아니었던 것이다. 인근 학교의 여자애들을 구름처럼 몰고 다니는 원조 킹카 반해원은 허둥대는 한경의 안쓰럽고도 귀여운 모습에 반한다. 그리고 성격대로 저돌적으로 대시한다.?문제는 옆 학교 성권고의 짱 정태성도 정한경을 찍었다는 사실이다. 수줍은 듯한 얼굴 뒤에 숨어있는 강한 주먹과 고집으로 뭉쳐진 태성. 자존심과 사랑을 모두 건 둘의 대결은 한치의 양보도 없는 싸움으로 번지게 되고, 그러나 태성은 한경을 사랑할래야 할 수 없는 운명적인 비밀이 있고, 이를 알지 못하는 한경은 둘 다에게 상처를 주지 않는 방법을 찾기 위해 고민에 고민을 거듭한다. 결국 한경 곁을 떠나는 태성, 그리고 뒤늦게 태성의 비밀을 알게 된 한경과 해원. 그 녀석들의 가슴 아프지만 밝은 모습이 어른들조차 울리는데..."
말할수 없는 비밀,로맨스,"예술학교로 전학 온 상륜(주걸륜)은 아버지의 영향을 받아 피아노에 천부적인 소질을 보인다. 학교를 둘러보던 중 신비스러운 피아노 연주가 흘러나오는 옛 음악실을 발견하게 되고, 그곳에서 샤오위(계륜미)를 만난다. 그들은 아름다운 피아노 선율처럼 즐거운 시간을 보내고, 둘 사이에는 애틋한 마음이 싹튼다. 그러나 상륜이 샤오위를 더 알고 싶어할 때마다 그녀는 비밀이라고 일관하며 의미심장한 미소만 짓는다. 어느 날 샤오위는 우연히 상륜이 같은 반 여학생 칭요와 키스하는 모습을 보게 되고, 그의 곁에서 사라지는데…"
로미오와 줄리엣,로맨스,"누구도 따라 할 수 없는 사랑… 이 사랑에 홀릭하다! 정열의 도시 베로나, 태양의 열기가 가득한 이 도시에서 두 가문 몬태규가와 캐플릿가는 끝없이 혈투를 벌인다. 어느 날 캐플릿가의 파티에 몰래 참석한 몬태규가의 로미오는, 아름다운 줄리엣을 만나 첫눈에 사랑에 빠진다. 로미오와 줄리엣은 부모 몰래 결혼식을 올리고, 이 결혼이 두 가문의 화해를 가져다 줄 거라 믿은 신부는 그들을 축복한다. 그러나 싸움에 휘말려 줄리엣의 사촌 티볼트를 죽이게 된 로미오가 베로나에서 추방당하게 되고, 줄리엣은 그녀를 좋은 가문에 강제로 결혼시키려는 부모를 피해 수면제를 먹고 죽은 것처럼 가장하는데.."
백만장자의 첫사랑,로맨스,"모처럼 학교에 갔다. 왜? 학교와 굿바이 하러! 학교 다니는 것도 지겹고, 경찰서 다니는 것도 귀찮다. 할아버지 유산 받는 날, 가볍게 박차고 나올 생각이었으니 하루 덜 채운들 무슨 상관! 진정한 백만장자가 되는 주민등록증을 받아들 내일이 기다려진다. 내일은 내 생애 최고의 날이다. 음화화홧! ? 오늘이면 수 천억이 내 껄 줄 알았다. 이런.... 그 밉살맞은 변호사가 언젠가는 내 발등에 도끼를 찍을 줄 알았다. 젠장. 그 산골엔 왜 가라는 거야? 그 학교는 왜 꼭 졸업해야 하는데? 할아버지! 왜 절 이렇게 골탕 먹이시는 겁니까!!! 도대체 왜!!!!! ? 이 놈의 구질구질한 산골. 그리고 이 자식들은 순진한 건지, 단순한 건지 도대체 정체들을 알 수가 없다. 교장에게 돈을 주고 퇴학만 시켜달래도 도무지 말이 씨도 안 먹힌다. 전학 첫 날부터 반장이라 잘난 체 하는 은환이란 계집애는 사사건건 태클을 건다. 그런데 이상하다. 언제부턴가 어이없게도 그 뻣뻣하고 멋대가리 없는 계집애만 보면 가슴이 두근거린다. 내가 왜 이러는 거지? 지금 당장 이 산골학교를 벗어나야 하는데... 유산에만 신경 써야 하는데..."
"사랑한다, 사랑하지 않는다",로맨스,"여느 날과 다르지 않았던 어떤 하루. 출장 때문에 공항까지 데려다 주는 차 안, 그녀는 마치 음료수 캔이라도 내밀듯 불쑥, 남자가 생겼다며 집을 나가겠다고 말한다. 단 한번도 이유를 묻지 않았던 그는, 그녀의 새 남자가 데리러 오기로 한 날, 짐을 싸는 그녀를 위해 아끼던 찻잔을 포장해 주고 맛있는 커피를 내려 준다. 오늘이 끝이라고 생각했는데, 짐을 싸는 도중 함께 만들었던 기억과 추억을 되살리는 물건들이 튀어나오고, 그 때마다 따로 있던 두 사람은 서로의 공간을 찾는다. 익숙한 시간이 흐를수록, 그의 속 깊은 배려에 점점 화가 나는 그녀는 그런 자신의 감정이 당황스럽다. 속 마음을 알 수 없는 그는 마지막 식사를 위해 레스토랑에 예약하고 함께 외출하기로 한다. 하루 종일 내리던 비를 피해 길 잃은 새끼 고양이가 집으로 찾아 들고 숨어버린 고양이를 핑계로, 비에 잠겨 끊어진 다리를 핑계로, 두 사람은 하루 더 함께 머물게 된다. 그와 그녀는 진짜 헤어질 수 있을까?"
김종욱찾기,로맨스,"2:8 가르마에 호리호리한 체형, 돌다리도 두드려 보고 건너는 고지식한 성격의 소유자 한기준(공유). 지나치게 강한 책임감과 융통성 제로에 가까운 업무 능력 덕에 회사에서 잘린 기준은 우연한 기회에 기발한 창업 아이템을 찾아 낸다. 바로 아직까지 첫사랑을 잊지 못한 사람들을 위해 첫사랑을 찾아주는 일! 고객에게 무한 감동을 선사하겠다는 열정과 패기로 지체 없이 1인 기업 ‘첫사랑 찾기 사무소’를 오픈 한다. 만나던 남자친구로부터 프러포즈를 받은 서지우(임수정). 딸이 시집가기만을 학수고대하는 군인출신 홀아버지의 압박에도 불구하고 결국 프러포즈를 거절하고 만다. 뮤지컬 무대 감독으로 일에만 매달려온 그녀 맘 속에는 ‘김종욱’이라는 잊을 수 없는 사람이 있기 때문. 아버지에게 등 떠밀려 ‘첫사랑 찾기 사무소’를 찾은 서지우는 우여곡절 끝에 이제는 기억 조차 희미한 첫사랑의 상대를 찾아보기로 결심한다. 아버지에 끌려 첫사랑 찾기 사무소의 고객이 된 서지우. 그러나 그녀가 첫사랑에 대해 알고 있는 정보는 ‘김종욱’이라는 이름 석자가 전부다. 회사의 흥망성쇠를 결정할 첫 의뢰를 성공시키기 위해 필사적인 한기준은 특유의 치밀함과 꼼꼼함으로 ‘김종욱 찾기’에 나서고, 서지우는 고객감동을 위한 한기준의 지나친 열의에 화가 나다 못해 지쳐간다. 급기야 한기준은 전국에 대량 분포(?) 중인 김종욱들을 찾아나서는 여정에 동행할 것을 서지우에게 요구하는데…"
내 아내의 모든 것,로맨스,"예쁘고 사랑스러운 외모, 완벽한 요리 실력, 때론 섹시하기까지. 최고의 여자 ‘정인’(임수정)은 남들이 보기에 모든 것을 갖췄다. 하지만 입만 열면 쏟아내는 불평과 독설로 인해 남편 ‘두현’(이선균)에겐 결혼생활 하루하루가 죽을 맛이다. 이혼을 매일 수백 번씩 결심하지만 아내가 무서워 이혼의 ‘이’자도 꺼내지 못하는 소심한 남편 두현. 그런 아내와 헤어질 방법은 단 하나뿐. 그녀가 먼저 두현을 떠나게 하는 것. 아내가 싫어하는 짓만 골라하며 소심한 반항을 해보지만 눈도 까딱 않는 정인으로 인해 두현은 절망에 빠진다. 하지만 어떤 여자든 사랑의 노예로 만들어 버리는 비범한 능력을 지녔다는 전설의 카사노바 ‘성기’(류승룡)를 만나 절호의 기회를 얻는데..."
쩨쩨한 로맨스,로맨스,"천재적인 그림실력은 가졌으되, 지루하기 짝이 없는 스토리로 인해 그리는 족족 퇴짜를 맞는 만화가 정배! 여지없이 출판사의 퇴짜를 맞던 어느 날, 무려 1억 3천의 상금이 걸린 성인만화 공모전 소식에 스토리 작가를 찾게 되는데. 한편, 성인잡지 번역 일을 하고 있지만 넘치는 창의력으로 인해 일하는 족족 사고를 치고 결국 해고 당하는 다림! 새로운 직장을 찾아 헤매던 어느 날, 어마어마한 상금에 넘어가 정배와 함께 성인만화를 만들게 되는데..."
결혼전야,로맨스,"한번 헤어진 후 다시 만난 전직 야구선수 태규(김강우)와 비뇨기과 의사 주영(김효진). 연애 7년차, 스타 쉐프 원철(옥택연)과 네일 아티스트 소미(이연희).?순수한 꽃집 노총각 건호(마동석)와 우크라이나에서 온 절세미녀 비카(구잘).?만남에서부터 결혼까지 LTE급 속도로 진행 중인 ‘파파걸’ 이라(고준희)와 ‘마마보이’ 대복(이희준).?그리고...?여행사 실수로 부녀회 단체여행에 합류한 소미(이연희)와 티격태격하는 제주도 여행가이드 경수(주지훈).?과연 이들은 메리지 블루를 극복하고 무사히 결혼에 골인할 수 있을까?"
오감도,로맨스,"에로스, 그 이상의 사랑 이야기 그들의 솔직하고 은밀한 사랑이 당신의 오감을 자극한다. 출근길에 처음 만난 그 남자, 그 여자의 유쾌하고 매력적인 하룻밤 ‘짜릿한 사랑’ 아내를 떠나 보낸 남편, 죽어서도 남편을 떠나지 못하는 아내 ‘애절한 사랑’ 신인 여배우와 관록의 여배우, 괴팍한 영화감독을 사냥하다! ‘자극적인 사랑’ 남편의 애인과 기묘한 동거를 시작한 아내, 애증과 공감 ‘치명적인 사랑’ 지금 사랑을 확인하고픈 여섯 명의 고등학생, 커플 체인지! ‘도발적인 사랑’ 때로는 상상하고, 때로는 경험하는 색다른 감각의 에로스, 그 특별한 사랑 이야기가 시작된다."
끝과 시작,로맨스,늘 새로운 자극을 원하던 재인은 아내의 후배인 나루와 은밀한 사랑에 빠져든다. 남편 재인과 함께 이민을 준비하던 정하는 남편이 자신의 후배 나루와 ?밀애 중이었다는 사실을 알게 된다.?모든 것이 혼란스러운 정하 앞에 어느 날 갑자기 나타난 나루. 나루는 같이 살게 해달라며 집요하게 매달리는데......
